locationName,postalCode,streetAddress,streetAddress2,fullAddress,city,state,storeID
Mt. Juliet,37122,105 Legacy Pointe Blvd,Suite C-1,"105 Legacy Pointe Blvd, Suite C-1, Mount Juliet, TN, 37122",Mount Juliet,TN,mt-juliet
Charlotte Douglas International Airport,28208,5501 R C Josh Birmingham Fwy,"Concourse E, Gates 25-27","5501 R C Josh Birmingham Fwy, Concourse E, Gates 25-27, Charlotte, NC, 28208",Charlotte,NC,charlotte-airport
Eastlake El Paso,79928,13395 W Gateway Blvd,,"13395 W Gateway Blvd, El Paso, TX, 79928",El Paso,TX,eastlake-el-paso
Gates of Prosper,75078,1140 S Preston Rd,Ste 10,"1140 S Preston Rd, Ste 10, Prosper, TX, 75078",Prosper,TX,gates-of-prosper
Conroe,77304,247 S Loop 336 W,Ste 700,"247 S Loop 336 W, Ste 700, Conroe, TX, 77304",Conroe,TX,conroe
Lake Jackson,77566,401-A This Way,,"401-A This Way, Lake Jackson, TX, 77566",Lake Jackson,TX,lake-jackson
Montfort,75254,15125 Montfort Road,,"15125 Montfort Road, Dallas, TX, 75254",Dallas,TX,addison-montfort
Park District - Petite Market & Bakery,75201,2100 Olive Street,Suite 150,"2100 Olive Street, Suite 150, Dallas, TX, 75201",Dallas,TX,dallas-park-district
McKinney,75071,3625 West University Drive,,"3625 West University Drive, McKinney, TX, 75071",McKinney,TX,mckinney
Spring,77389,6805 N Grand Parkway,Suite 805,"6805 N Grand Parkway, Suite 805, Spring, TX, 77389",Spring,TX,spring
Connecticut Ave.,20036,1130 Connecticut Ave. NW,Suite 100,"1130 Connecticut Ave. NW, Suite 100, Washington, DC, 20036",Washington,DC,washington-connecticut-ave
Tierra Del Este,79938,3440 Joe Battle Blvd.,Suite 102,"3440 Joe Battle Blvd., Suite 102, El Paso, TX, 79938",El Paso,TX,el-paso-tierra-del-este-center
Atlanta Airport Kiosk Terminal C Gate 40,30320,6000 N. Terminal Parkway,Terminal C Gate 40,"6000 N. Terminal Parkway, Terminal C Gate 40, Atlanta, GA, 30320",Atlanta,GA,atlanta-airport
Atlanta Airport Kiosk - Terminal C Gate 7,30320,6000 N. Terminal Parkway,"Terminal C, Gate 7","6000 N. Terminal Parkway, Terminal C, Gate 7, Atlanta, GA, 30320",Atlanta,GA,atlanta-airport-kiosk-terminal-c-gate-7
Sawyer Heights,77007,2423 Katy Freeway,Suite E,"2423 Katy Freeway, Suite E, Houston, TX, 77007",Houston,TX,houston-sawyer-heights-2
Waco,76711,2816 Marketplace Drive,Suite 101,"2816 Marketplace Drive, Suite 101, Waco, TX, 76711",Waco,TX,waco
Tysons Corner,22102,7960 Tyson’s Corner Center,,"7960 Tyson’s Corner Center, McLean, VA, 22102",McLean,VA,mclean-tysons-corner-center
The Met,85226,3615 West Chandler Blvd,Suite 7,"3615 West Chandler Blvd, Suite 7, Chandler, AZ, 85226",Chandler,AZ,the-met-at-chandler-mall
Reston,20190,1833 Fountain Drive,,"1833 Fountain Drive, Reston, VA, 20190",Reston,VA,reston
Presidio Junction,76177,8825 N Fwy Service Rd E,Suite 109,"8825 N Fwy Service Rd E, Suite 109, Ft. Worth, TX, 76177",Ft. Worth,TX,fort-worth-presidio-junction
Phoenix Sky Harbor International Airport,85034,3400 E. Sky Harbor Blvd.,Terminal 4 Gate B20,"3400 E. Sky Harbor Blvd., Terminal 4 Gate B20, Phoenix, AZ, 85034",Phoenix,AZ,phoenix-sky-harbor-international-airport
La Villita,79912,6801 N. Mesa Street,,"6801 N. Mesa Street, El Paso, TX, 79912",El Paso,TX,el-paso-west-el-paso
